#{
#	"Field Quantity": "B(x,y,z,f0)"
#	"Field Quantity Units": "T"
#	"Snapshot Quantity": "Frequency"
#	"Snapshot Value": 1.2774e+08
#	"Snapshot Units": "Hz"
#	"Column 1 Quantity": "x"
#	"Column 1 Units": "m"
#	"Column 2 Quantity": "y"
#	"Column 2 Units": "m"
#	"Column 3 Quantity": "z"
#	"Column 3 Units": "m"
#	"Column 4-5 Quantity": "Re/Im Bx"
#	"Column 4-5 Units": ""
#	"Column 6-7 Quantity": "Re/Im By"
#	"Column 6-7 Units": ""
#	"Column 8-9 Quantity": "Re/Im Bz"
#	"Column 8-9 Units": ""
#	"Number Rows": 10584
#}
-7.0789663315e-02	-7.1289686203e-02	-5.1146734428e-02	-6.6617212724e-07	4.0134372625e-07	6.6554292744e-07	4.4626915496e-07	1.3181863778e-07	-7.7691247213e-08	
-6.6929887772e-02	-7.1289686203e-02	-5.1146734428e-02	-6.8987606028e-07	3.8691166537e-07	6.5878776923e-07	3.6445868545e-07	1.2599907961e-07	-9.0859387569e-08	
-6.3237416891e-02	-7.1289686203e-02	-5.1146734428e-02	-7.0929343110e-07	3.8084726839e-07	6.5098231516e-07	2.9632718679e-07	1.1920992904e-07	-1.0166053954e-07	
-5.9978204983e-02	-7.1289686203e-02	-5.1146734428e-02	-7.2414763963e-07	3.8083834397e-07	6.4242249209e-07	2.4261359499e-07	1.1242956788e-07	-1.0993613131e-07	
-5.7206575980e-02	-7.1289686203e-02	-5.1146734428e-02	-7.3534386047e-07	3.8428419202e-07	6.3383640736e-07	2.0095158959e-07	1.0618988711e-07	-1.1612586093e-07	
-5.4753629684e-02	-7.1289686203e-02	-5.1146734428e-02	-7.4429704000e-07	3.8970492255e-07	6.2528152966e-07	1.6683790705e-07	1.0036213638e-07	-1.2098861646e-07	
-5.2397737503e-02	-7.1289686203e-02	-5.1146734428e-02	-7.5216274809e-07	3.9679076735e-07	6.1627173409e-07	1.3636324070e-07	9.4530776096e-08	-1.2512600733e-07	
-4.9944791207e-02	-7.1289686203e-02	-5.1146734428e-02	-7.5967670909e-07	4.0594065354e-07	6.0614848962e-07	1.0688899010e-07	8.8247659846e-08	-1.2888894219e-07	
-4.7177821381e-02	-7.1289686203e-02	-5.1146734428e-02	-7.6738518828e-07	4.1822673325e-07	5.9393761376e-07	7.6268420912e-08	8.0940843361e-08	-1.3248023834e-07	
-4.3933518839e-02	-7.1289686203e-02	-5.1146734428e-02	-7.7545468002e-07	4.3496194735e-07	5.7872460957e-07	4.3806281269e-08	7.2130468709e-08	-1.3580945790e-07	
